	subject_number	AGE_GROUP	TRIAL	image_id	FIRST_LAST	CURRENT_FIX_INDEX	CURRENT_FIX_X	CURRENT_FIX_Y	CURRENT_FIX_DURATION
4142	203	1	56	52	0	7	270.8	198.5	295
4143	203	1	56	52	0	8	109.0	46.7	151
4144	203	1	56	52	0	9	89.8	-10.8	313
4145	203	1	56	52	0	10	180.6	385.8	291
4146	203	1	56	52	0	11	285.7	345.2	277
4147	203	1	56	52	0	12	253.0	332.3	310
4148	203	1	56	52	0	13	450.3	388.3	113
4149	203	1	56	52	0	14	337.6	194.1	339
4150	203	1	56	52	0	15	449.6	355.1	356
4151	203	1	56	52	0	16	481.0	414.3	351
4152	203	1	56	52	0	17	459.9	451.9	165
4153	203	1	56	52	0	18	278.1	345.7	248
4154	203	1	56	52	0	19	337.4	264.3	107
4155	203	1	56	52	0	20	320.4	154.6	284
4156	203	1	56	52	2	21	337.8	255.0	270
4253	203	1	62	111	1	1	390.1	294.2	741
4254	203	1	62	111	0	2	275.2	378.0	135
4255	203	1	62	111	0	3	553.1	148.4	247
4256	203	1	62	111	0	4	150.6	437.8	182
4257	203	1	62	111	0	5	205.8	410.6	232
4258	203	1	62	111	0	6	182.1	390.5	285
4259	203	1	62	111	0	7	174.6	369.5	208
4260	203	1	62	111	0	8	26.3	340.0	250
4261	203	1	62	111	0	9	301.8	325.7	292
4262	203	1	62	111	0	10	653.9	161.8	250
4263	203	1	62	111	0	11	725.9	161.4	173
4264	203	1	62	111	0	12	718.8	25.9	208
4265	203	1	62	111	0	13	569.7	407.9	328
4266	203	1	62	111	0	14	620.3	465.0	169
4267	203	1	62	111	0	15	695.5	364.3	344
4268	203	1	62	111	0	16	505.2	378.9	324
4269	203	1	62	111	0	17	452.5	368.0	285
4270	203	1	62	111	0	18	442.0	463.4	256
4271	203	1	62	111	0	19	285.5	498.0	201
4272	203	1	62	111	0	20	189.9	510.4	190
4273	203	1	62	111	0	21	338.8	312.7	341
4274	203	1	62	111	2	22	314.1	317.0	153
4298	203	1	64	106	1	1	400.7	284.0	339
4299	203	1	64	106	0	2	242.0	261.6	156
4300	203	1	64	106	0	3	297.6	231.9	165
4301	203	1	64	106	0	4	555.5	368.4	269
4302	203	1	64	106	0	5	577.9	437.9	305
4303	203	1	64	106	0	6	573.8	472.6	156
4304	203	1	64	106	0	7	476.5	372.8	249
4305	203	1	64	106	0	8	578.6	284.9	281
4306	203	1	64	106	0	9	752.7	459.8	235
4307	203	1	64	106	0	10	777.5	486.9	201
4308	203	1	64	106	0	11	326.8	217.6	418
4309	203	1	64	106	0	12	491.8	306.6	349
4310	203	1	64	106	0	13	552.0	337.0	149
4311	203	1	64	106	0	14	586.3	250.2	203
4312	203	1	64	106	0	15	76.7	328.5	380
4313	203	1	64	106	0	16	334.7	356.1	258
4314	203	1	64	106	0	17	387.6	315.5	432
4315	203	1	64	106	0	18	487.5	251.4	271
4316	203	1	64	106	0	19	290.9	189.7	251
4317	203	1	64	106	0	20	299.4	154.7	207
4318	203	1	64	106	2	21	488.9	263.0	280
4397	203	1	69	85	1	1	423.7	307.5	855
4398	203	1	69	85	0	2	235.7	200.3	78
4399	203	1	69	85	0	3	235.9	200.5	128
4400	203	1	69	85	0	4	166.4	79.8	208
4401	203	1	69	85	0	5	597.8	420.7	28
4402	203	1	69	85	0	6	503.5	291.6	273
4403	203	1	69	85	0	7	459.1	143.9	213
4404	203	1	69	85	0	8	132.4	64.2	214
4405	203	1	69	85	0	9	380.3	296.7	278
4406	203	1	69	85	0	10	569.1	275.9	157
4407	203	1	69	85	0	11	448.6	345.0	372
4408	203	1	69	85	0	12	506.9	304.0	264
4409	203	1	69	85	0	13	343.5	308.6	343
4410	203	1	69	85	0	14	411.5	285.6	332
4411	203	1	69	85	0	15	475.9	302.3	288
4412	203	1	69	85	0	16	335.4	299.7	438
4413	203	1	69	85	0	17	449.5	273.6	496
4414	203	1	69	85	0	18	481.3	265.8	244
4415	203	1	69	85	2	19	365.4	279.1	380
4462	203	1	72	67	1	1	397.1	293.7	813
4463	203	1	72	67	0	2	284.6	374.7	285
4464	203	1	72	67	0	3	369.3	397.5	173
4465	203	1	72	67	0	4	240.1	369.1	188
4466	203	1	72	67	0	5	556.0	335.0	203
4467	203	1	72	67	0	6	725.4	374.7	149
4468	203	1	72	67	0	7	276.4	230.4	163
4469	203	1	72	67	0	8	503.6	343.3	251
4470	203	1	72	67	0	9	295.7	205.6	132
4471	203	1	72	67	0	10	177.2	174.9	379
4472	203	1	72	67	0	11	443.4	220.2	223
4473	203	1	72	67	0	12	178.0	414.4	500
4474	203	1	72	67	0	13	443.1	436.6	394
4475	203	1	72	67	0	14	561.6	455.2	264
4476	203	1	72	67	0	15	700.3	369.5	197
4477	203	1	72	67	0	16	523.9	346.5	250
4478	203	1	72	67	0	17	776.5	365.7	444
4479	203	1	72	67	0	18	692.1	419.2	303
4480	203	1	72	67	0	19	354.3	400.2	373
4481	203	1	72	67	2	20	205.8	375.3	311
4524	203	1	75	149	1	1	405.6	293.5	612
4525	203	1	75	149	0	2	270.7	255.5	147
4526	203	1	75	149	0	3	448.7	157.8	283
4527	203	1	75	149	0	4	361.0	313.8	225
4528	203	1	75	149	0	5	369.0	441.5	329
4529	203	1	75	149	0	6	324.4	213.9	319
4530	203	1	75	149	0	7	429.3	251.5	205
4531	203	1	75	149	0	8	450.4	257.3	161
4532	203	1	75	149	0	9	276.0	220.9	273
4533	203	1	75	149	0	10	334.1	178.5	211
4534	203	1	75	149	0	11	366.8	437.3	479
4535	203	1	75	149	0	12	476.2	452.6	242
4536	203	1	75	149	0	13	289.4	533.4	371
4537	203	1	75	149	0	14	521.6	540.4	289
4538	203	1	75	149	0	15	394.0	180.1	315
4539	203	1	75	149	0	16	308.2	194.2	377
